id,ra,dec,host_ra,host_dec,host_name,our_id,nbr_name
659914,150.45999500331462,2.4311550253085614,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX5
680426,150.4603440825616,2.4261831506570615,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX6
680812,150.45722066297657,2.430475040132897,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX7
757887,150.10664688939997,2.375719379573428,150.106932,2.377961,Saigon,7,Saigon HX1
758032,150.10580609075402,2.3777462755705865,150.106932,2.377961,Saigon,7,Saigon HX2
758360,150.1058569097697,2.3814393845042963,150.106932,2.377961,Saigon,7,Saigon HX3
782581,150.10481378947452,2.377605013823153,150.106932,2.377961,Saigon,7,Saigon HX4
782661,150.1044224237913,2.3782548565703574,150.106932,2.377961,Saigon,7,Saigon HX5
782821,150.1049509324684,2.379196166746342,150.106932,2.377961,Saigon,7,Saigon HX6
782838,150.103934958902,2.3796518442870846,150.106932,2.377961,Saigon,7,Saigon HX7
782882,150.10779838777322,2.378426740602212,150.106932,2.377961,Saigon,7,Saigon HX8
783197,150.1075471995525,2.3808018070753794,150.106932,2.377961,Saigon,7,Saigon HX9
783322,150.10754056654145,2.3817835638181157,150.106932,2.377961,Saigon,7,Saigon HX10
782329,150.10380645835485,2.3760714429897907,150.106932,2.377961,NA,7,NA
782883,150.10786585956785,2.37846086913385,150.106932,2.377961,NA,7,NA
776150,150.1100102374415,2.3272063487834376,150.108873,2.330539,Tien,8,Tien HX1
799188,150.10726620336257,2.3269187534560607,150.108873,2.330539,Tien,8,Tien HX2
799221,150.10753675850606,2.3272260176740813,150.108873,2.330539,Tien,8,Tien HX3
799360,150.10610999420282,2.329316574089923,150.108873,2.330539,Tien,8,Tien HX4
799493,150.1063048600978,2.3304915191712063,150.108873,2.330539,Tien,8,Tien HX5
799560,150.1091799281336,2.330055184113188,150.108873,2.330539,Tien,8,Tien HX6
799665,150.10997387426931,2.3304866858628985,150.108873,2.330539,Tien,8,Tien HX7
799673,150.11206372304088,2.3297725667349685,150.108873,2.330539,Tien,8,Tien HX8
799674,150.1052183479444,2.3322959452940717,150.108873,2.330539,Tien,8,Tien HX9
799686,150.10968032171294,2.3307027032162373,150.108873,2.330539,Tien,8,Tien HX10
799885,150.10941261471768,2.3326436159176893,150.108873,2.330539,Tien,8,Tien HX11
799944,150.1075525975699,2.3338702225050696,150.108873,2.330539,Tien,8,Tien HX12
799949,150.10932302601813,2.333293096860275,150.108873,2.330539,Tien,8,Tien HX13
799972,150.10814948725633,2.3338851944262964,150.108873,2.330539,Tien,8,Tien HX14
823354,150.10960524921262,2.327322753459651,150.108873,2.330539,Tien,8,Tien HX15
823447,150.10981984848073,2.327905841993534,150.108873,2.330539,Tien,8,Tien HX16
823557,150.1119560696683,2.3279757981699576,150.108873,2.330539,Tien,8,Tien HX17
823690,150.1120102610887,2.3289310700163073,150.108873,2.330539,Tien,8,Tien HX18
823796,150.10629438436348,2.3319135504529225,150.108873,2.330539,Tien,8,Tien HX19
823832,150.11208669907273,2.33008256924072,150.108873,2.330539,Tien,8,Tien HX20
823841,150.1102138769493,2.33081093948146,150.108873,2.330539,Tien,8,Tien HX21
823918,150.1127485523823,2.3304736511832824,150.108873,2.330539,Tien,8,Tien HX22
823998,150.10656035835868,2.333422717830832,150.108873,2.330539,Tien,8,Tien HX23
824034,150.1080009297445,2.3331805218045623,150.108873,2.330539,Tien,8,Tien HX24
824112,150.11014569149668,2.332911034547975,150.108873,2.330539,Tien,8,Tien HX25
824190,150.10829410939476,2.3342329690674974,150.108873,2.330539,Tien,8,Tien HX26
799317,150.1072238642873,2.328334130639372,150.108873,2.330539,NA,8,NA
823362,150.11001629658645,2.3271397401902334,150.108873,2.330539,NA,8,NA
823454,150.1085072945662,2.3284653351873184,150.108873,2.330539,NA,8,NA
823493,150.10990452132486,2.3282485990602697,150.108873,2.330539,NA,8,NA
823724,150.11157197777965,2.329368873772395,150.108873,2.330539,NA,8,NA
824065,150.11287801337895,2.331558110133733,150.108873,2.330539,NA,8,NA
